Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Ban Leong,B26,BANL.SI,51.26,204.329,5.86,5.68,Technology Equipment,76
Banyan Tree,B58,BANY.SI,233.586,221.228,,,Cyclical Consumer Services,86
BBR,KJ5,BBRS.SI,39.615,179.954,24.6,2.46,Industrial & Commercial Services,61
Beng Kuang,BEZ,BENK.SI,12.949,53.031,,,Industrial & Commercial Services,71
Best World,CGN,BEST.SI,767.458,567.136,,,Personal & Household Products & Services,64
Beverly JCG,VFP,BEVE.SI,19.681,8.974,,,Healthcare Services,48
BH Global,BQN,BHGC.SI,51,46.841,10.27,2.94,Industrial Goods,50
BHG Retail Reit,BMGU,BHGR.SI,282.252,70.64,37.57,3.95,Real Estate,74
Biolidics,8YY,BIOL.SI,22.563,2.314,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,13.533,19.013,,,Energy - Fossil Fuels,66
Boldtek,5VI,BOLD.SI,15.208,67.724,18.94,,Real Estate,64
Bonvests,B28,BVHS.SI,391.479,134.414,31.97,0.77,Cyclical Consumer Services,62
Boustead,F9D,BTSS.SI,480.064,736.367,4.13,4.69,Industrial & Commercial Services,80
Boustead Proj,AVM,BOUS.SI,292.8,392.818,2.04,0.98,Industrial & Commercial Services,87
BRC Asia,BEC,BRCA.SI,466.401,1469.251,6.46,4.73,Cyclical Consumer Products,60
Broadway Ind,B69,BRWY.SI,87.776,471.41,5.7,5.38,Industrial Goods,31
Brook Crompton,AWC,BROO.SI,21.985,48.087,8.26,3.23,Industrial Goods,69
Bukit Sembawang,B61,BSES.SI,1307.502,556.552,7.73,0.79,Real Estate,68
Bumitama Agri,P8Z,BUMI.SI,1303.548,1148.112,8.03,5,Food & Beverages,51
Bund Center,BTE,BCIL.SI,387.85,83.638,31.12,5.88,Real Estate,36
Camsing Hc,BAC,CAMS.SI,31.749,8.585,,,Retailers,44
CapAllianz,594,CAPL.SI,16.967,3.332,0.89,,Energy - Fossil Fuels,59
Capital World,1D5,CAPI.SI,9.405,0.992,,,Real Estate,53
CapitaLandInvest,9CI,CAPN.SI,19824.176,2293,8.22,3.15,Real Estate,
CapLand China T,AU8U,CAPA.SI,1872.231,377.967,16.76,7.79,Real Estate,98.8
CapLand IntCom T,C38U,CMLT.SI,14850.206,1305.051,13.44,3.89,Real Estate,108.4
Captii,AWV,CAPT.SI,15.02,23.871,1.66,5.32,Telecommunications Services,33
Casa,C04,CASA.SI,15.737,19.021,6.68,6.67,Cyclical Consumer Products,62
CDL HTrust,J85,CDLT.SI,1605.13,157.724,23.7,2.61,Real Estate,85.5
CDW,BXE,CDWH.SI,71.292,197.77,20.21,5.76,Technology Equipment,82
Centurion,OU8,CNCL.SI,294.273,143.017,5.59,1.43,Real Estate,71
CFM,5EB,CFMH.SI,20.154,23.303,26.88,,Industrial Goods,56
CH Offshore,C13,CHOF.SI,48.959,21.428,,,Energy - Fossil Fuels,51
Challenger,573,CHAL.SI,220.968,283.161,10.95,5.09,Retailers,59
Charisma Energy,5QT,CHAR.SI,27.092,18.749,,,Utilities,52
Chasen,5NV,CHHL.SI,25.276,156.323,10.87,,Transportation,71
ChasWood Res,5TW,CHAS.SI,2.289,0.563,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,55.44,67.445,,2.05,Chemicals,49
China Aviation,G92,CNAO.SI,747.516,24350.932,13.33,2.18,Transportation,78
China Env,5OU,CHEN.SI,31.774,1.204,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,107.937,83.187,,,Industrial & Commercial Services,
China Everbright,U9E,CEWL.SI,1662.848,1216.188,3.96,7.46,Utilities,69
China Fishery,B0Z,CNFG.SI,275.237,673.271,,,Food & Beverages,45
China Intl,BEH,CHNA.SI,12.107,26.492,,18.75,Industrial & Commercial Services,61
China Mining,BHD,CMIL.SI,18.998,1.689,1.07,,Real Estate,60
China Star Food,42W,CHIA.SI,31.786,59.272,61.66,,Food & Beverages,73
China Yuanbang,BCD,CYBP.SI,10.604,80.972,,,Real Estate,59
ChinaKangdaFood,P74,0834.HK,132.916,1777.598,,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,6.099,7.032,,,Chemicals,61
ChinaSunsine,QES,CHSN.SI,427.21,766.689,4.05,2.3,Chemicals,
Chip Eng Seng,C29,CESE.SI,346.088,1115.399,,4.76,Real Estate,63
Choo Chiang,42E,CHOO.SI,75.92,79.375,8.85,5.48,Industrial Goods,59
Chuan Hup,C33,CHHS.SI,201.924,31.764,37.63,4.55,Real Estate,63
CityDev,C09,CTDM.SI,7283.503,2625.853,85.71,1.37,Real Estate,115
Civmec,P9D,CIVM.SI,325.82,737.365,7.9,3.08,Industrial & Commercial Services,78
Clearbridge,1H3,CLEA.SI,44.511,34.123,,,Healthcare Services,66
CNMC Goldmine,5TP,CNMC.SI,86.949,45.397,36.6,0.93,Mineral Resources,71
Colex,567,COLX.SI,27.83,42.532,,2.14,Industrial & Commercial Services,56
Combine Will,N0Z,CWIHx.SI,25.499,200.65,3.55,6.29,Cyclical Consumer Products,74
ComfortDelGro,C52,CMDG.SI,3164.474,3538.3,24.32,2.88,Transportation,100
Cordlife,P8A,CORD.SI,93.634,60.818,14.59,2.57,Healthcare Services,62
Cortina,C41,CORT.SI,713.643,587.462,14.16,0.46,Retailers,69
COSCO SHP SG,F83,COSC.SI,432.174,198.463,14.35,,Transportation,53
CosmoSteel,B9S,COSM.SI,42.979,39.361,18.2,5.07,Mineral Resources,88
Courage Inv,CIN,1145.HK,117.429,76.418,1.43,,Transportation,
Creative,C76,CREA.SI,163.672,98.146,,,Technology Equipment,41
CreditBureauAsia,TCU,CRED.SI,226.934,45.379,28.95,2.59,Industrial & Commercial Services,55
Cromwell Reit EUR,CWBU,,,,,,,
Cromwell Reit SGD,CWCU,CROM.SI,1124.784,200.122,11.39,8.48,Real Estate,
CSC,C06,CSCH.SI,50.237,248.611,20.9,,Industrial & Commercial Services,69
CSE Global,544,CSES.SI,242.552,468.661,16.17,5.85,Software & IT Services,98
Daiwa Hse Log Tr,DHLU,DAIW.SI,526.5,70.283,18.9,,Real Estate,
Darco Water Tech,BLR,DRWT.SI,12.104,54.314,,,Utilities,63
Dasin Retail Tr,CEDU,DASI.SI,238.204,101.311,,12.43,Real Estate,64.9
Datapulse Tech,BKW,DATA.SI,18.692,1.448,,,Real Estate,66
DBS,D05,DBSM.SI,79931.508,10185,11.82,4.47,Banking & Investment Services,109
Debao Property,BTF,DPDL.SI,9.587,57.851,,15.63,Real Estate,40
Del Monte Pac,D03,DMPL.SI,1196.489,3134.732,5.24,,Food & Beverages,105
Delfi,P34,DELF.SI,451.648,559.36,11.17,4.23,Food & Beverages,68
DFIRG USD,D01,DFIR.SI,3762.12,9015.4,36.55,,Food & Drug Retailing,
DigiCore Reit USD,DCRU,DIGT.SI,1121.639,101.287,35.17,,Real Estate,
Digilife Tech,BAI,DIGI.SI,26.163,241.746,,,Telecommunications Services,73
DISA,532,DISA.SI,30.32,26.285,,,Software & IT Services,34
Don Agro,GRQ,DONA.SI,37.568,30.944,3.64,3.41,Food & Beverages,
Dragon,MT1,DRGN.SI,1.396,3.102,,,Industrial Goods,64
Duty Free Intl,5SO,DUTY.SI,143.584,31.087,,,Transportation,58
Dyna-Mac,NO4,DMHL.SI,137.558,220.21,25.09,,Industrial Goods,74
Eagle HTrust USD,LIW,EAGL.SI,119.567,69.414,,,Real Estate,
EC World Reit,BWCU,ECWO.SI,485.903,126.837,28.69,10.19,Real Estate,68.3
Econ Healthcare,EHG,ECOE.SI,66.82,20.541,16.09,2.35,Healthcare Services,
EcoWise,5CT,ECOW.SI,75.357,35.566,,,Industrial & Commercial Services,78
Edition,5HG,EDIT.SI,17.663,0.211,,,Food & Beverages,68
Eindec,42Z,EIND.SI,7.001,16.835,,,Industrial & Commercial Services,62
EliteComREIT GBP,MXNU,ELIE.SI,306.511,34.731,,8.02,Real Estate,
Ellipsiz,BIX,ELPZ.SI,50.974,54.511,16.67,8.2,Technology Equipment,56
Emperador Inc.,EMI,,,,,,,
Eneco Energy,R14,ENEC.SI,17.368,39.491,,,Energy - Fossil Fuels,38
